Nome;Tipo;Unidade;CaloriasPorPorcao
Arroz, integral, cozido;Cereais e derivados;kcal/100g;124
Arroz, integral, cru;Cereais e derivados;kcal/100g;360
Arroz, tipo 1, cozido;Cereais e derivados;kcal/100g;128
Arroz, tipo 1, cru;Cereais e derivados;kcal/100g;358
Arroz, tipo 2, cozido;Cereais e derivados;kcal/100g;130
Arroz, tipo 2, cru;Cereais e derivados;kcal/100g;358
Aveia, flocos, crua;Cereais e derivados;kcal/100g;394
Biscoito, doce, maisena;Cereais e derivados;kcal/100g;443
Biscoito, doce, recheado com chocolate;Cereais e derivados;kcal/100g;472
Biscoito, doce, recheado com morango;Cereais e derivados;kcal/100g;471
Biscoito, doce, wafer, recheado de chocolate;Cereais e derivados;kcal/100g;502
Biscoito, doce, wafer, recheado de morango;Cereais e derivados;kcal/100g;513
Biscoito, salgado, cream cracker;Cereais e derivados;kcal/100g;432
Bolo, mistura para;Cereais e derivados;kcal/100g;419
Bolo, pronto, aipim;Cereais e derivados;kcal/100g;324
Bolo, pronto, chocolate;Cereais e derivados;kcal/100g;410
Bolo, pronto, coco;Cereais e derivados;kcal/100g;333
Bolo, pronto, milho;Cereais e derivados;kcal/100g;311
Canjica, branca, crua;Cereais e derivados;kcal/100g;358
Canjica, com leite integral;Cereais e derivados;kcal/100g;112
Cereais, milho, flocos, com sal;Cereais e derivados;kcal/100g;370
Cereais, milho, flocos, sem sal;Cereais e derivados;kcal/100g;363
Cereais, mingau, milho, infantil;Cereais e derivados;kcal/100g;394
Cereais, mistura para vitamina, trigo, cevada e aveia;Cereais e derivados;kcal/100g;381
Cereal matinal, milho;Cereais e derivados;kcal/100g;365
Cereal matinal, milho, açúcar;Cereais e derivados;kcal/100g;377
Creme de arroz, pó;Cereais e derivados;kcal/100g;386
Creme de milho, pó;Cereais e derivados;kcal/100g;333
Curau, milho verde;Cereais e derivados;kcal/100g;78
Curau, milho verde, mistura para;Cereais e derivados;kcal/100g;402
Farinha, de arroz, enriquecida;Cereais e derivados;kcal/100g;363
Farinha, de centeio, integral;Cereais e derivados;kcal/100g;336
Farinha, de milho, amarela;Cereais e derivados;kcal/100g;351
Farinha, de rosca;Cereais e derivados;kcal/100g;371
Farinha, de trigo;Cereais e derivados;kcal/100g;360
Farinha, láctea, de cereais;Cereais e derivados;kcal/100g;415
Lasanha, massa fresca, cozida;Cereais e derivados;kcal/100g;164
Lasanha, massa fresca, crua;Cereais e derivados;kcal/100g;220
Macarrão, instantâneo;Cereais e derivados;kcal/100g;436
Macarrão, trigo, cru;Cereais e derivados;kcal/100g;371
Macarrão, trigo, cru, com ovos;Cereais e derivados;kcal/100g;371
Milho, amido, cru;Cereais e derivados;kcal/100g;361
Milho, fubá, cru;Cereais e derivados;kcal/100g;353
Milho, verde, cru;Cereais e derivados;kcal/100g;138
Milho, verde, enlatado, drenado;Cereais e derivados;kcal/100g;98
Mingau tradicional, pó;Cereais e derivados;kcal/100g;373
Pamonha, barra para cozimento, pré-cozida;Cereais e derivados;kcal/100g;171
Pão, aveia, forma;Cereais e derivados;kcal/100g;343
Pão, de soja;Cereais e derivados;kcal/100g;309
Pão, glúten, forma;Cereais e derivados;kcal/100g;253
Pão, milho, forma;Cereais e derivados;kcal/100g;292
Pão, trigo, forma, integral;Cereais e derivados;kcal/100g;253
Pão, trigo, francês;Cereais e derivados;kcal/100g;300
Pão, trigo, sovado;Cereais e derivados;kcal/100g;311
Pastel, de carne, cru;Cereais e derivados;kcal/100g;289
Pastel, de carne, frito;Cereais e derivados;kcal/100g;388
Pastel, de queijo, cru;Cereais e derivados;kcal/100g;308
Pastel, de queijo, frito;Cereais e derivados;kcal/100g;422
Pastel, massa, crua;Cereais e derivados;kcal/100g;310
Pastel, massa, frita;Cereais e derivados;kcal/100g;570
Pipoca, com óleo de soja, sem sal;Cereais e derivados;kcal/100g;448
Polenta, pré-cozida;Cereais e derivados;kcal/100g;103
Torrada, pão francês;Cereais e derivados;kcal/100g;377
Abóbora, cabotian, cozida;Verduras, hortaliças e derivados;kcal/100g;48
Abóbora, cabotian, crua;Verduras, hortaliças e derivados;kcal/100g;39
Abóbora, menina brasileira, crua;Verduras, hortaliças e derivados;kcal/100g;14
Abóbora, moranga, crua;Verduras, hortaliças e derivados;kcal/100g;12
Abóbora, moranga, refogada;Verduras, hortaliças e derivados;kcal/100g;29
Abóbora, pescoço, crua;Verduras, hortaliças e derivados;kcal/100g;24
Abobrinha, italiana, cozida;Verduras, hortaliças e derivados;kcal/100g;15
Abobrinha, italiana, crua;Verduras, hortaliças e derivados;kcal/100g;19
Abobrinha, italiana, refogada;Verduras, hortaliças e derivados;kcal/100g;24
Abobrinha, paulista, crua;Verduras, hortaliças e derivados;kcal/100g;31
Acelga, crua;Verduras, hortaliças e derivados;kcal/100g;21
Agrião, cru;Verduras, hortaliças e derivados;kcal/100g;17
Aipo, cru;Verduras, hortaliças e derivados;kcal/100g;19
Alface, americana, crua;Verduras, hortaliças e derivados;kcal/100g;9
